CustomerID,Age,Gender,Region
1,23,Male,South
2,18,Female,South
3,28,Male,East
4,24,Male,East
5,36,Male,West
6,56,Female,East
7,39,Male,East
8,21,Female,East
9,57,Male,East
10,33,Male,East
11,30,Female,West
12,26,Female,North
13,41,Male,South
14,50,Male,East
15,59,Female,East
16,53,Male,North
17,47,Male,North
18,33,Female,North
19,48,Male,West
20,26,Female,West
21,34,Female,South
22,27,Male,East
23,56,Male,East
24,41,Male,South
25,60,Male,West
26,62,Male,West
27,22,Female,West
28,64,Female,North
29,31,Female,South
30,52,Female,West
31,52,Male,South
32,56,Male,North
33,35,Male,North
34,22,Male,East
35,55,Female,East
36,48,Male,East
37,40,Female,North
38,48,Female,South
39,34,Female,South
40,41,Female,West
41,55,Male,South
42,43,Male,South
43,42,Male,West
44,44,Male,North
45,27,Male,West
46,52,Male,West
47,39,Male,South
48,22,Female,East
49,59,Female,South
50,24,Male,North
51,27,Female,West
52,65,Male,North
53,29,Male,North
54,42,Male,North
55,29,Male,West
56,19,Male,North
57,20,Female,North
58,26,Female,West
59,39,Female,South
60,31,Female,East
61,41,Male,West
62,35,Female,North
63,32,Female,North
64,28,Female,West
65,63,Female,South
66,46,Female,West
67,34,Female,East
68,48,Female,South
69,65,Female,South
70,18,Male,South
71,23,Male,East
72,22,Female,East
73,27,Male,East
74,64,Female,East
75,28,Male,North
76,24,Female,West
77,38,Female,East
78,41,Female,West
79,58,Male,East
80,58,Female,South
81,39,Female,North
82,26,Male,North
83,49,Male,South
84,55,Female,North
85,59,Female,South
86,65,Male,North
87,22,Female,South
88,20,Female,South
89,23,Male,East
90,34,Female,East
91,37,Female,East
92,62,Male,West
93,32,Female,East
94,22,Male,East
95,31,Female,East
96,38,Female,West
97,23,Female,East
98,57,Male,East
99,64,Male,West
100,56,Female,South
101,31,Female,East
102,58,Female,North
103,29,Male,North
104,41,Female,West
105,37,Female,East
106,22,Female,South
107,59,Female,West
108,24,Male,North
109,65,Male,South
110,22,Male,West
111,18,Male,East
112,26,Female,South
113,37,Female,West
114,63,Female,North
115,65,Female,East
116,32,Male,South
117,58,Male,East
118,63,Male,East
119,31,Female,West
120,27,Female,West
121,65,Female,North
122,45,Male,West
123,47,Male,East
124,39,Female,North
125,26,Male,East
126,37,Female,East
127,61,Male,North
128,58,Male,North
129,43,Male,East
130,23,Male,South
131,42,Male,West
132,57,Male,West
133,19,Female,North
134,38,Female,South
135,27,Female,East
136,62,Male,South
137,35,Male,East
138,38,Male,East
139,34,Male,East
140,62,Male,North
141,53,Male,West
142,55,Female,South
143,47,Male,South
144,33,Male,West
145,63,Female,South
146,62,Female,West
147,57,Male,West
148,28,Male,North
149,40,Male,East
150,23,Male,East
151,44,Female,South
152,39,Female,West
153,47,Male,North
154,55,Male,East
155,37,Female,West
156,59,Male,East
157,63,Male,North
158,27,Female,South
